Method,AR1-D1,AR3-D1,AR5-D1,AR10-D1,ap_pairs-D1,AR1-D2,AR3-D2,AR5-D2,AR10-D2,ap_pairs-D2,AR1-D3,AR3-D3,AR5-D3,AR10-D3,ap_pairs-D3
Random,0.0068920166420071574,0.019462043324860578,0.03252526018943561,0.06554371056059284,0.006547889644262379,0.01827332852789054,0.055629323317778874,0.09333940336633914,0.1847439837120781,0.018981781748046846,0.036597240664162776,0.10596001365757426,0.17396967512677516,0.3372662088850108,0.03606291761157449
Raw,0.01159629222150562,0.03972077848173299,0.0636721170504698,0.11729074193507594,0.0065369056546875064,0.025140053365706842,0.0832479734941892,0.13159325720500273,0.2425863398965565,0.019032392141924682,0.03730541118150663,0.1218432666894293,0.19329261352858607,0.34973506835110085,0.036038250119368356
LTC,0.08180634065531064,0.17944535073409462,0.24434412028782074,0.3048041782060523,0.018043842817006005,0.15306599896303602,0.350987012658548,0.4825676239614553,0.5969877461208696,0.049759062334042765,0.1917498134729441,0.4630044134198313,0.6428291412167887,0.7969573959558405,0.08589061065357288
